system,pdf_path,leakage_discussion_or_control,leakage_evidence_page,leakage_evidence,leakage_notes,active_leakage_mitigation_or_control,extra_validation_beyond_public_tests,validation_type,validation_evidence_page,validation_evidence,validation_notes
Ehsani et al.,Prompting Approaches/Retrieval-Augmented Generation Enhanced Prompting/Hierarchical Knowledge Injection for Improving LLM-based Program Repair.pdf,yes,10,"to a successful fix where the bug knowledge layer does not, the observed improvement is attributed to the additional injected context, regardless of whether the model has seen the bug before. This design isolates the impact of contextual knowledge and mitigates the influence of potential leakage. To further strengthen our anal- ysis, we evaluate two architecturally distinct models (Llama 3.3 and GPT-4o-mini), reducing the likelihood that any results hinge on the behavior of a single LLM. Moreover, a recent investigation into benchmark leakage [59] using the LLMStar- Coderfound only 11% leakage rate in the BugsInPy dataset. While our study does not useStarCoder, it is likely that if leakage exists, it is limited and unlikely to dominate outcomes. Lastly, while we curated our layered knowledge based on insi",Discusses leakage of proprietary LLM pretraining data and relative-effect design.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
RLCE,Prompting Approaches/Retrieval-Augmented Generation Enhanced Prompting/When  large language models confront repository-level automatic program repair How well they done.pdf,yes,3,"constitute the most prevalent repository-level issues [37]. Subsequently, we will provide a detailed exposition of the methods employed for open-source repository collection and code disruption. 2.1 Dataset Collection We collect repositories from open-source projects on GitHub. To minimize the risk of leakage due to the repositories being used as training data for LLMs, we set the search date condition to later than October 1, 2021. Additionally, we increase the number of crawled repositories. In this paper, we primarily focus on conceptual valida- tion using the Python programming language. Consequently, we constrain the repositories considered in our work to those utilizing the Python language. Simultaneously, we ensure that each size of the repository does not exceed 1MB and that it has a minimum of 2,000 stars. We",Uses post-cutoff repository selection to reduce leakage risk in RepoBugs.,yes,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
DsRepair,Prompting Approaches/Retrieval-Augmented Generation Enhanced Prompting/Knowledge-Enhanced Program Repair for  Data Science.pdf,yes,5,"the influence of LLM’s inherent randomness on our experiment results. B. Data Science Benchmark Our evaluation uses DS-1000 [5], the state-of-the-art bench- mark specifically designed for benchmarking LLMs in data science code generation. The DS-1000 benchmark was specif- ically constructed to mitigate concerns about data leakage. In particular, the dataset applies perturbation (e.g., text rephrasing and semantic perturbation), so that models cannot answer them correctly by memorizing the solutions from pre-training [5]. Other data science code generation benchmarks [23], [38] are not applicable because they are not based on realistic problems and have no dedicated test cases to evaluate the correctness of the code (they use Exact Match [39] or BLEU score [40]). DS-1000 comprises one thousand diverse and practical data science problems sou","Uses DS-1000, which applies perturbations to reduce memorization leakage.",yes,yes,execution-semantic tests,10,"datasets, and LLMs used in our study. To reduce the threat regard- ing datasets, we carefully choose to use DS-1000 as our experiment dataset, which is the state-of-the-art benchmark tailored to address data leakage concerns with realistic and diverse data science problems, with testing methods checking both execution semantics and surface-form constraints [5]. To reduce the threat regarding LLMs, we use four widely studied LLMs to mitigate the potential bias that certain LLMs can bring to the experiment results. In addition, to mitigate the inherent randomness of LLMs, we experiment ten times for each approach and choose one with the median overall performance as our final result, which could further mitigate the non-determinism of LLMs. Moreover, we exclusively design RQ7 to study whether the non-determinism of LLMs will affect our exp",Uses DS-1000 tests that check execution semantics and surface constraints.
D4C,Prompting Approaches/Analysis-Augmented Generation Enhanced Prompting/Aligning the Objective of LLM-based Program Repair..pdf,yes,7,"umber Data leakage Language Defects4J 437 Yes Java DebugBench 200/194/196 No C++/Java/Python3 2) Datasets: Our experiments are conducted on 1027 logic single-function bugs from DebugBench (590) and bugs from Defects4J (437). Specifically, DebugBench [43] is a new debug benchmark designed to counter data leakage (by implanting bugs into source data with GPT-4), which contains a total number of 4,253 bugs from Java, C++, and Python3 from LeetCode. In general, fixing logic bug is more difficult than fixing other types of bugs. For example, syntax bugs can be easily detected by the compiler or interpreter without testing, and their fixing methods are usually provided in the raised exceptions. Thus, our paper aligns with the practice of existing APR methods that only focus on fixing logic bugs. Since DebugBench is not exposed",Separates Defects4J leakage-prone comparison from DebugBench leakage-resistant validation.,yes,yes,manual and unseen-test validation,7,"re known as plausible patches . Ideally, developer validation is helpful, but the bugs in Defects4J are historically fixed and outdated [42], making developer feedback impractical. To ensure rigor experiment, we follow existing APR papers [18], [25], [26], [30], [70] by adding a manual validation for each plausible patch after automated evaluation to identify the correct patches that are the same or semantically equivalent to the human-written patch. IV. E VALUATION This section aims to answer the research questions below: • RQ1: How does D4C compare against LLM-based APR methods? We compared D4C to state-of-the-art APR methods with and without perfect FL. We aim to investigate the improvement from aligning output and enhancing input as mentioned in Sec. I. • RQ2: How effective are the two insights that drive the design of D4C? We",Adds manual validation and LeetCode validation for DebugBench patches.
Appatch,Prompting Approaches/Analysis-Augmented Generation Enhanced Prompting/APPATCH Automated Adaptive Prompting Large Language Models for Real-World Software Vulnerability Patching.pdf,yes,9,"iscussed below. As a result, we collect 306 vulnerability fixing samples. For the testing set, considering that the latest powerful LLMs are trained on existing data, it is possible that they have seen the samples in PatchDB and CVEFixes during the train- ing. Thus, there may be data leakage and contamination issues if we use the samples from PatchDB and CVEFixes as the testing set. Therefore, we collect a Zero-Day dataset where all the vulnerabilities were reported after the latest cutoff date of the LLMs (04/2024 from Claude-3.5-Sonnet). As a result, we collect 97 vulnerabilities which also cover the same CWEs as PatchDB and CVEFixes. Among them, 21 vulnerabilities are interprocedural where the vulnerabil- ity manifestation locations and the patching locations are in different functions. These samples cover 18 open-source p",Uses a zero-day dataset after LLM cutoff and checks older ExtractFix leakage risk.,yes,yes,manual semantic patch check,9,"- ficult to compile each of the samples and use the test cases to validate the generated patches (furthermore, some of the sam- ples do not come with test cases), we cannot automatically validate the generated patches if they do not exactly match the ground truths. Therefore, we manually check each generated patch. To improve the manual evaluation and better under- stand the generated patches, we consider four metrics: (1) if the generated patch exactly matches the ground truth, we con- sider it as syntactic equivalent (SynEq); (2) if the generated patch does not exactly match the ground truth but the behavior is the same as the ground truth, we consider it as semantically equivalent (SemEq); (3) if the patch has different behavior from the ground truth but still fix the vulnerability without breaking the code functionality",Manually checks generated patches when automatic validation is unavailable.
TracePrompt,Prompting Approaches/Analysis-Augmented Generation Enhanced Prompting/Towards Effectively Leveraging  Execution Traces for Program Repair with Code LLMs..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
ChatRepair,Procedural Approaches/Test-in-the-Loop Pipelines/Automated program repair via conversation Fixing 162 out of 337  bugs for $0.42 each using ChatGPT.pdf,yes,7,"cular, we look at not only the conversational aspect but also how to provide feedback along with the eﬀect on repair performance as we change the maximum length of conversation. Lastly, we further evaluate ChatRepair on additional recently collected bugs to study the performance without potential data leakage aﬀecting the result. 4.1 Implementation Repair scenarios. In ChatRepair, we study 3 diﬀerent repair scenarios used in prior work [ 71]: single-line–/f_ixed by replac- ing/adding a single line, single-hunk–/f_ixed by replacing/adding a continuous code hunk and single-function–/f_ixed by generating a new function to replace the original buggy version. Our initial prompts diﬀer slightly based on the repair scenario and we provide examples of all three in Figure2. Note that single-hunk repair setting is studied extens",Adds ConDefect post-cutoff evaluation to address leakage of older benchmarks.,yes,yes,manual semantic patch check,11,"s part of the input to /f_ix the current buggy class. We hope our agent-based debugging approach can address the prior limitations and inspire future work in using LLM for more holistic APR and debugging. 7 Threats to Validity Internal. The /f_irst internal threat comes from the manual validation used to determine the correctness of the plausible patches compared with the reference developer patch. To address this, following prior work [29, 71, 77, 83], we carefully examined each patch and have released the correct patches along with the code [15]. Another threat to validity comes from the data leakage of refer- ence developer patches being part of the original training data of ChatGPT. Since ChatGPT is a proprietary model and can only be ac- cessed through API, we do not have access to the exact training data used. To addr",Manually validates plausible patches and releases correct patches.
ThinkRepair,Procedural Approaches/Test-in-the-Loop Pipelines/Thinkrepair Self-directed  automated program repair..pdf,yes,10,"at arises from the manual validation employed to determine the correctness of the plausible patches. To mitigate this concern, we conduct a thorough examina- tion and comprehensive discussion of each patch, following prior work [21, 61, 62, 64, 65, 67]. The second one comes from potential data leakage since referenced developer patches may be part of the training data of LLM. As discussed in section 6.1.1, 24.5% of correct 1283 [[PAGE 11]] ThinkRepair: Self-Directed Automated Program Repair ISSTA ’24, September 16–20, 2024, Vienna, Austria patches aligned with the reference developer fix. Moreover, even after excluding all the correct patches (24) that aligned with the ref- erence developer patch, ThinkRepair is still capable of generating the correct patch for 29 unique bugs, none of which could be fixed by",Discusses developer-patch leakage and rechecks after excluding same-as-reference patches.,yes,yes,manual semantic patch check,10,"(44 bugs) RWB V2.0 (29 bugs) ThinkRepair AlphaRepairThinkRepair* AlphaRepair Cli 4 3 4 3 Codec 3 1 1 1 Collections 1 0 - - Compress 1 1 - - Csv 1 0 - - Lang 3 2 3 1 Jsoup 6 2 2 1 # Sum 19 9 10 6 6.2 Threats to Validity Internal Validity. The first internal threat arises from the manual validation employed to determine the correctness of the plausible patches. To mitigate this concern, we conduct a thorough examina- tion and comprehensive discussion of each patch, following prior work [21, 61, 62, 64, 65, 67]. The second one comes from potential data leakage since referenced developer patches may be part of the training data of LLM. As discussed in section 6.1.1, 24.5% of correct 1283 [[PAGE 11]] ThinkRepair: Self-Directed Automated Program Repair ISSTA ’24, September 16–20, 2024, Vienna, Austria patches aligned w",Manually validates plausible patches and discusses them.
REx,Procedural Approaches/Test-in-the-Loop Pipelines/Code repair  with llms gives an exploration-exploitation tradeoff.pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,formal solver validation,5,"ogram analyses (i.e., running the code). In contrast, we solely use source code without any dynamic execution traces or feature engineering. We check all three criteria of being a sufficiently strong inductive invariant (i.e., precondition, induction, and postcondition) with the Z3 solver [22]. The Z3 solver timeout is set to 2 minutes. We use these datasets to study several research questions: (1) For a given compute budget, which approaches to refinement solve the most problems? (2) Can REx solve hard problems other methods cannot? (3) How much of a speedup/cost-reduction does REx grant? (4) How sensitive are different methods to hyperparameter choices, and what are reasonable default hyperparameter settings for this new method? To investigate these questions, we study a range of baselines: 5 [",Checks loop-invariant tasks with the Z3 solver.
ContrastRepair,Procedural Approaches/Test-in-the-Loop Pipelines/Contrastrepair Enhancing  conversation-based automated program repair via contrastive test case pairs.pdf,yes,6,"pared to state-of-the-art APR techniques? We evaluate the performance of ContrastRe- pair by comparing it to traditional APR methods, DL-based APR techniques, and the recent conversation-driven APR tools. • RQ2: How useful is ContrastRepair in unknown datasets? Consid- ering the potential data leak risk caused by LLMs, we evaluate ContrastRepair on previously unseen datasets, which were not used during the training of ChatGPT. • RQ3: How do different hyperparameters affect the repair perfor- mance of ContrastRepair? We conduct a study to examine the impact of various hyperparameters on ContrastRepair’s effective- ness, including the number of test pairs, and the thresholds for continuous repair and restarting repair. • RQ4: What are the contributions of different components of Con- trastRepair in improving repair",Uses HumanEval-Java as an unseen benchmark to mitigate ChatGPT leakage risk.,yes,yes,human inspection and generated tests,3,"as input a program to be validated, along with a test suite consisting of multiple test cases. The initial program is assumed to be buggy code. ContrastRepair then evaluates the program with the test suite. If all tests pass successfully, a plausible patch is obtained, which is further investigated by a human. On the other hand, if any test fails (𝑓 ), and triggers the bug in the program, then the corre- sponding traceback logs (𝑇𝑓 ) are captured. Additionally, all passing tests (𝑃) that the program handles correctly are also collected for further test pair construction. Next, ContrastRepair constructs test pairs that involve the fail- ing test 𝑓 and other passing tests (e.g., 𝑓 ′, 𝑓 ′′). To ensure these test pairs provide informative contrastive guidance, we propose a similarity-guided selection process. Inspired by t",Uses human investigation of plausible patches and generated contrastive tests.
CREF,Procedural Approaches/Human-in-the-Loop Pipelines/Cref An llm-based conversational software repair framework for programming tutors..pdf,yes,2,"e- quently, it is necessary to investigate approaches to integrating augmented information with human expertise, specifically in- teraction with tutors or developers , into the repair process, further enhancing LLMs’ repair capabilities. This paper. In this study, we address the challenge of data leakage and evaluate the practical benefits of different forms of augmented information within conversation-based program repair methods. To do this, we introduce an extensive benchmark dataset, which we re- fer to as “uncrawled” to emphasize that it has not been incorporated into the training data of any pre-trained LLM. This benchmark orig- inates from a company specializing in training novice developers to become experienced professionals through data structure and algorithm courses. Our dataset, TutorCode, comprises 1",Introduces an uncrawled TutorCode benchmark to evaluate realistic capability.,yes,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
HULA,Procedural Approaches/Human-in-the-Loop Pipelines/Human-In-the-Loop Software Development Agents..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,human/tool validation gate,4,"nt AI Agent AI Agent AI Agent Fig. 2. The user interface of our human-in-the-loop LLM-based agent framework, seamlessly integrated into Atlassian JIRA. Coding Agent ( C) undertakes self-refinement, improving the generated code based on feedback from code validation tools such as compilers and linters. The refinement is conducted iteratively until the code successfully passes the validation tools or the maximum number of attempts is reached. Stage 4 Raising a Pull Request: Once the Human Agent (H) agrees with the code change, the generated code changes are created as a pull request (PR) to BitBucket for review by other practitioners. Alternatively, the Human Agent ( H) can create a new code branch from the generated code to make modifications prior to the PR creation. V. T HE MULTI-STAGE EVALUATION OF HULA IN R",Uses human agreement plus compiler/linter validation in the development workflow.
DRCodePilot,Procedural Approaches/Human-in-the-Loop Pipelines/Enhancing LLM-Based Automated Program  Repair with Design Rationales..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
Agentless,Procedural Approaches/RAG-in-the-Loop Pipelines/Agentless Demystifying llm-based  software engineering agents..pdf,yes,18,"e compared with open-source approaches and perform better than many closed-source / commercial techniques. Furthermore, we note that AGENTLESS performs the best among all techniques that use GPT-4o as the LLM. 7 Threats to Validity Internal. One threat to validity comes from the data leakage of ground truth developer patches in SWE-bench Lite being part of the training data for GPT-4o. Since GPT-4o is a closed-source model, we do not have access to the training data. Meanwhile, we note here that prior work almost exclusively used similar closed-source LLMs (e.g., GPT-4o, GPT-4, Claude-3.5, etc), and our approach can outperform all existing open-source solutions with same models. Furthermore, the authors of SWE-bench [ 44] compared the resolve rate of issues collected before and after the knowledge cutoff date of GPT-4, and did not fin",Discusses possible GPT-4o leakage and compares pre/post knowledge-cutoff performance.,yes,yes,generated reproduction/regression tests,3,"chical localization. During repair, AGENTLESS samples multiple candidate patches in a simple diff format for efficient patch generation. AGENTLESS then generates reproduction tests to verify that the issue has been resolved. Finally, AGENTLESS leverages both regression tests and generated reproduction tests to select the final submission patch. • Extensive evaluation. We evaluate AGENTLESS on the popular SWE-bench Lite dataset comparing against state-of-the-art agent-based approaches. Our results demonstrates that AGENTLESS is able to achieve higher performance (32.00%, 96 correct fixes) than all open-source approaches, with comparably low cost as well. This shows the previously overlooked potential of a simplistic technique in autonomous software development. Additionally, AGENTLESS has already been adopted by Open",Uses generated reproduction tests and regression tests for patch selection.
PATCH,Procedural Approaches/RAG-in-the-Loop Pipelines/PATCH Empowering Large Language Model with Programmer-Intent Guidance and Collaborative-Behavior Simulation for Automatic Bug Fixing.pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
KGCompass,Procedural Approaches/RAG-in-the-Loop Pipelines/Enhancing Repository-Level  Software Repair via Repository-Aware Knowledge Graphs.pdf,yes,3,"rence relationships between files, classes, and functions. For repository structure enti- ties, we apply regular expression-based parsing to extract references to code entities within textual content, establishing relationships between repository artifacts and codebase entities. To address data leakage, we strictly use only artifacts with timestamps before the benchmark instance’s created_at, simulating the informa- tion available to developers when the issue was reported in practice. To prioritize stronger relationships during path finding, we treat the edge weight as a distance, such that smaller values indicate closer connections. After constructing the knowledge graph, we compute each func- tion entity’s relevance score 𝑆 (𝑓 ) through a novel formula that combines semantic similarity with structural proximit",Restricts knowledge graph artifacts to timestamps before each benchmark instance.,yes,yes,generated reproduction/regression tests,5,"(𝑃𝑖, 𝑆) 11: if IsSyntaxV alid(𝑃 ′) and 𝑃 ′ ≠ 𝑆 then 12: return 𝑃 ′ 13: end if 14: end for 15: return null {No valid adjustment found} In the reproduction test generation process, KGCompass utilizes a prompt that combines the issue description with 20 KG-mined relevant functions. Reproduction tests are specialized test cases dy- namically generated by LLMs to simulate the exact conditions and environment, verifying whether a patch addresses the proposed issue. Using Deepseek-V3 [ 8], KGCompass iteratively generates tests that reproduce the described issue, averaging 113 valid re- production tests per iteration and successfully generating at least one reproduction test for 203 (67.7%) instances in the SWE-Bench- Lite benchmark. All generated tests are executed within isolated Docker [10] containers to ensure testing consistency and rep",Generates reproduction tests and validates with benchmark ground-truth tests.
Repilot,Procedural Approaches/AAG-in-the-Loop Pipelines/Copiloting the Copilots Fusing Large Language Models with Completion Engines for Automated Program Repair.pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,manual semantic patch check,8,", 72]. 5.4 Evaluation Metrics • Plausible patches are patches that pass all test cases but may violate the real user intent. • Correct patches are patches that are semantically equivalent to the developer patch. Following common APR practice, we determine semantic equivalency by manually examining each plausible patch. • Patch compilation rate is also used in many deep learning based APR works [ 29, 72], which indicates the percentage of compilable patches in all generated patches. 6 RESULT ANALYSIS 6.1 RQ1: Comparison with Existing Tools In RQ1 and RQ2, we follow the prior approach for cloze-style APR [67] to make use of repair templates for a faithful evaluation. Instead of replacing the entire buggy line with model-generated code, these templates systematically keep parts of the buggy line to reduce the amount of code the LL",Manually examines plausible patches for semantic equivalence.
SAN2PATCH,"Procedural Approaches/AAG-in-the-Loop Pipelines/Logs In, Patches Out Automated Vulnerability Repair via Tree-of-Thought LLM Analysis.pdf",no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,manual validation and sanitizer evidence,9,"ddress the underlying cause and only prevented specific PoCs; and Incorrect (failed all test cases) , when the patch was entirely incorrect, such as simply removing vulnerable code. Disagree- ments were resolved through structured discussion. Details and illustrative examples of manual validation are included in the supplementary material. Evaluation Environment. All experiments were conducted in a 64-bit Ubuntu 22.04 environment. The hardware used for the experiments comprised an Intel Xeon Gold 5218 CPU with 32 cores (2.30 GHz) and 64 GB of RAM. Throughout the experiments, only OpenAI, Anthropic and Google LLM models were utilized, and no GPU resources from the server were employed. Unless otherwise stated, the default LLM model used was OpenAI’s “gpt-4o-2024-08-06” model. 4.1 RQ1. Superiority of S AN2PA",Uses sanitizer logs and manual validation categories for generated patches.
PredicateFix,Procedural Approaches/AAG-in-the-Loop Pipelines/PredicateFix  Repairing Static Analysis Alerts with Bridging Predicates.pdf,yes,7,"lone them from GitHub. We also include other repositories in the benchmark in the corpus. For the second source (matching string features), we use the code search feature in GitHub and clone the top 3 repositories. We do not assign other additional codebases as the third source. To avoid possible data leakage in the corpus, we drop the code from the corpus if it precisely matches the developer’s patched code. Example prioritization parameters: Section 3.3.2 introduces three heuristic rules to filter and prioritize key examples. For the count heuristic, we remove a key example if the number of occur- rences of the corresponding bridging predicate is greater than 20. For the code hierarchy heuristic, we remove bridging predicates located in basic language definition rules such as Expr.qll. For the similarity heuristic, w",Drops clean-corpus code that precisely matches the patched code.,yes,yes,manual/static-analyzer validation,8,"(84) 34.7% (40.0%) DeepSeek-V3 47 (52) 76 (88) 61.7% (69.2%) DeepSeek-R1 51 (58) 74 (84) 45.1% (44.8%) Claude-3.5-Sonnet 56 (62) 81 (91) 44.6% (46.8%) Qwen2 46 (55) 73 (85) 58.7% (54.5%) inspection is necessary to distinguish correct repairs from plau- sible repairs. The authors manually inspected the patches to flag plausible patches that remove or break existing functionalities. Only for RQ2, we cannot perform a human inspection because the total number of patches is large (up to 117 alerts× 6 models × 5 new baselines). Therefore, we only report the number of successful repairs in RQ2. We argue that: (1) Manual inspection on RQ1 will show that 85% successful repairs are correct, so the precision of the successful metric will be adequate for a qualitative finding given the results in RQ2; (2) it is common in existing",Combines static-analysis alert disappearance with manual inspection for RQ1.
LLM4CVE,Procedural Approaches/AAG-in-the-Loop Pipelines/LLM4CVE Enabling Iterative Automated Vulnerability Repair with Large Language  Models..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,human and compilation validation,1,"e patched automatically. We propose LLM4CVE – an LLM-based iterative pipeline that robustly fixes vulnerable functions in real-world code with high ac- curacy. We examine our pipeline with State-of-the- Art LLMs, such as GPT-3.5, GPT-4o, Llama 3 8B, and Llama 3 70B. We achieve a human-verified quality score of 8.51/10 and an increase in ground- truth code similarity of 20% with Llama 3 70B. To promote further research in the area of LLM-based vulnerability repair, we publish our testing appara- tus, fine-tuned weights, and experimental data on our website1. ∗∗These authors contributed equally. 1https://sites.google.com/view/llm4cve Legacy Code: Catastrophic Failure LLM4CVE: Automated Vulnerability Repair Bugs Found Bugs Found Patches Applied Safety Ensured Data StolenBugs Exploited Figure 1: How LLM4CVE assists in pr",Uses human quality scores and end-to-end compilation.
SWE-Agent,Agentic Approaches/Tool-Augmented Agents/Swe-agent Agent-computer interfaces enable automated software engineering..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
SWE-Agent M,Agentic Approaches/Tool-Augmented Agents/SWE-bench Multimodal Do AI Systems Generalize to Visual  Software Domains.pdf,yes,28,"o-dev/quarto-cli 24 0.0 0 .0 0 .0 scratchfoundation/scratch-gui 11 0.0 0 .0 0 .0 Automattic/wp-calypso 37 0.0 0 .0 2 .2 chartjs/Chart.js 24 20.8 0 .0 11 .7 diegomura/react-pdf 11 0.0 0 .0 0 .0 markedjs/marked 14 7.1 0 .0 20 .0 processing/p5.js 16 25.0 6 .2 23 .8 27 [[PAGE 28]] Temporal analysis does not reveal any indication of solution leakage.Table 18 shows resolution rates for different baselines by year. While agentless with GPT-4o shows somewhat increased per- formance for older task instances, all other system shows significantly higher performance on newer instances with a pronounced peak in 2024. However, the instances of the different repositories have uneven temporal distributions and average resolution rates (see Tables 7 and 17), making it difficult to interpret the yearly solution rates. For example, 8 out",Performs temporal analysis for possible solution leakage.,yes,yes,fail-to-pass/pass-to-pass tests,3,"ore resolved issues; issue(s) describe a bug or feature request, and the PR contains the corresponding solution code along with unit tests validating its correctness. The unit tests fail before the solution code is applied to the codebase but pass afterwards, also referred to as fail-to-pass (F2P) tests. Additional auxiliary pass-to-pass (P2P) tests verify that the codebase’s existing functionality is maintained. A task worker is shown the codebase and the issue, also called the problem statement. The worker must then modify the codebase to solve the problem. The proposed modification is run against both F2P and P2P tests to check if (1) the issue is fixed and (2) prior working behavior is not broken. If all unit tests pass, the task instance is considered resolved. Limitations. Within the SWE-bench task formulat",Uses fail-to-pass and pass-to-pass test validation in SWE-bench multimodal.
OpenHands,Agentic Approaches/Tool-Augmented Agents/Openhands An open platform for ai software developers as generalist agents..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
AutoCodeRover,Agentic Approaches/Tool-Augmented Agents/Autocoderover Autonomous program  improvement..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,manual semantic patch check,9,"petitions are performed, we consider a task to have a correct patch if any of the three repeti- tions produced a correct patch. A plausible patch is correct if it is semantically equivalent to the developer patch. In this veri/f_ication process, at least two authors of the paper cross-validated each patch, and any disagreement was resolved with another author. Overall, on SWE-bench lite, AutoCodeRover has a correctness rate of 65.4% (51 correct/78 plausible). We observed that the vast majority of AutoCodeRover’s over/f_itting patches (all but 2 of the over/f_itting patches) modify the same methods as the developer patches, but the code modi/f_ications are wrong. This means that even the over/f_itting patches from AutoCodeRover are useful to the developer, since it helps in localization. The main causes of wrong mod",At least two authors cross-validate plausible patches.
RepairAgent,"Agentic Approaches/Tool-Augmented Agents/Repairagent An autonomous, llm-based agent for  program repair..pdf",no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,manual semantic patch check,7,"both the number of plausible and correct patches. A fix is plausible if it passes all test cases, but is not necessarily correct. To determine whether a fix is correct, we automatically check whether it syntactically matches the developer-created fix. If this is not the case, we manually determine whether the RepairAgent-generated fix is semantically consistent with the developer-created fix. If and only if either of the two checks succeeds, we consider the fix to be correct. B. RQ1: Effectiveness 1) Overall Results: Table III summarizes the ef- fectiveness of RepairAgent in fixing the 835 bugs in Defects4J. The approach generates plausible fixes for [[PAGE 8]] TABLE III: Results on Defects4J. Project Bugs Plausible Correct ChatRepair ITER SelfAPR Chart 26 14 11 15 10 7 Cli 39 9 8 5 6 8 Closure 174 27 27 37 18 20",Manually checks non-syntactic matches for semantic consistency.
LANTERN,Agentic Approaches/Tool-Augmented Agents/Unlocking LLM Repair Capabilities in Low-Resource Programming Languages Through Cross-Language Translation  and Multi-Agent Refinement..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
VulDebugger,Agentic Approaches/Tool-Augmented Agents/Agent That Debugs Dynamic State-Guided Vulnerability Repair..pdf,yes,12,"epair approach. AutoCodeRover is an agent-based repair tool with abilities that exploits program structure by code searching. Due to the lack of code repositories and issue information in the Juliet test suites, AutoCodeRover is excluded from that benchmark. To address potential data leakage concerns, we also compared LLM-generated patches using conversation-only interactions. We argue that if a vulnerability is not directly fixed by LLM but is successfully addressed by VulDebugger, the result is unrelated to data leakage. In this study, we provided LLM with the function body that contained vulnerabilities and crash information, allowing it to generate five patches. We then used the patch closest to being correct as the basis for our statistical results. The LLM model configuration used in AutoCodeRover and LL",Compares against conversation-only LLM patches to address leakage concerns.,no,yes,vulnerability reproduction/sanitizer validation,7,"in the program and conducts debugging to acquire the necessary dynamic context. Once the problem is well analyzed, the LLM outputs the root cause of the vulnerability and possible fix locations. Based on this information, VulDebugger again guides the LLM to generate patches, and validate them by trying to reproduce the vulnerability. Patches that do not trigger the crash are finally output as the repair results. 3.1 Perceiving the expected state based on the crash-free constraint We utilize the crash-free constraint (CFC) as the expected state for the crash location and a basis for inferring the expected states of other locations. In this section, we will explain how we extract the CFC and perceive the expected states in potential fix locations. 3.1.1 Crash-free constraint extraction. Gao et al. [21] proposed a vulnerability repair methodolog",Validates patches by attempting to reproduce vulnerabilities and using sanitizer-derived constraints.
Abstain and Validate,Agentic Approaches/LLM-as-Judges/Abstain and Validate A Dual-LLM Policy for Reducing Noise in Agentic Program Repair.pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,yes,LLM/human/reproduction-test validation,1,"n tests. We evaluate both policies on repair trajectories generated by our ReAct-style APR system for this set. We further study patch validation on 198 machine-reported Java null pointer exception (NPE) bugs from a live deployment and 50 historical, sanitizer-reported bugs with known reproduction tests. Because our goal is to reduce developer noise, we introduce “filtered-success@k”. This metric computes success (e.g., fail-to-pass or human acceptance) only on the subset of patches and bugs that are “allowed” by our policies, rather than over the entire population. On our human-reported bug set, the baseline fail-to-pass@1 rate is 0.11. Applying bug abstention or patch validation alone raises this rate to 0.21 or 0.29, respectively. When combined, these policies form a configurable funnel that significantly impr","Evaluates validation policy with fail-to-pass, human acceptance, and known reproduction tests."
