system,pdf_path,category,page,snippet
Ruiz et al.,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/The Art of Repair Optimizing Iterative Program Repair with Instruction-Tuned Models.pdf,extra_validation,9,"ered successful if it compiles and passes all the tests. Although practical, this metric does not guarantee true correctness of the patch, since tests may not cover all edge cases and outputs may overfit to the tests. To partially address this limitation, we have manually analyzed over 3,000 of the 9,000 plausible patches generated across our exper- iments. Manual checks are labor-intensive and subjective, since reviewers may apply different standards [63]. We have published our manual assessments alongside the patches in our replication package.5 This step promotes transparency and has the potential to reduce future validation efforts. Another construct threat relates to the stopping criteria. The maximum number of iterations or outputs per iteration could impact the evaluation. To mitigate this threat we selected the fixed number of outputs based on empirical observations from"
Ruiz et al.,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/The Art of Repair Optimizing Iterative Program Repair with Instruction-Tuned Models.pdf,extra_validation,10,"he U.S.: A 2020 Report . Tech. rep. Jan. 2021. [2] D. H. O’Dell. “The Debugging Mindset: Understanding the Psychol- ogy of Learning Strategies Leads to Effective Problem-Solving Skills.” In: Queue 15.1 (Feb. 2017), pp. 71–90. doi: 10.1145/3055301.3068754. [3] K. Liu, A. Koyuncu, D. Kim, and T. F. Bissyandè. “AVATAR: Fixing Semantic Bugs with Fix Patterns of Static Analysis Violations. ” In: 2019 IEEE 26th International Conference on Software Analysis, Evolu- tion and Reengineering (SANER) . Feb. 2019, pp. 1–12. doi: 10.1109/ saner.2019.8667970. [4] K. Liu, A. Koyuncu, D. Kim, and T. F. Bissyandé. “TBar: Revisiting Template-Based Automated Program Repair. ” In:International Sym- posium on Software Testing and Analysis (ISSTA). Beijing China: ACM, July 2019, pp. 31–42. doi: 10.1145/3293882.3330577. [5] A. Koyuncu, K. Liu, T. F. Bissyandé, D. Kim, J. Klein, M. Monperrus, and Y. Le T"
KNOD,Fine-Tuning Approaches/Knowledge Distilling/KNOD_Domain_Knowledge_Distilled_Tree_Decoder_for_Automated_Program_Repair.pdf,leakage,,
KNOD,Fine-Tuning Approaches/Knowledge Distilling/KNOD_Domain_Knowledge_Distilled_Tree_Decoder_for_Automated_Program_Repair.pdf,extra_validation,8,"calization is given to the tools, and (2) spectrum based fault localization, where KNOD uses the suspicious faulty locations reported by Ochiai [35] (a spectrum based fault localization tool). Both settings are widely used in previous works [5], [7], [8], [10]. Patch Correctness.In line with previous work [5], [7], [8], [10], for evaluation purpose only, we manually check the correctness of plausible patches returned by KNOD. We con- sider a plausible patch correct if it is semantically equivalent to developer patches. The labeling procedure involves two participants. The agreement ratio is 92.1% and inconsistent cases are resolved by further discussion. Implementation.For ASG construction, we use the widely- used toolkits javalang [36] and JavaParser [37] to ﬁrst parse buggy functions and patches into ASTs. The APR models are implemented with PyTorch [38]. To select the 1Following"
KNOD,Fine-Tuning Approaches/Knowledge Distilling/KNOD_Domain_Knowledge_Distilled_Tree_Decoder_for_Automated_Program_Repair.pdf,extra_validation,10,"dding each component improves the effectiveness of KNOD. Speciﬁcally, the novel three-stage tree decoder enables KNOD to ﬁx 16 more bugs (KNOD vs. KNOD -decoder), as sequential decoder cannot leverage structural information well. Adding domain-rule distillation during training ﬁxes 10 more bugs (KNOD vs. KNOD-distTrain), which means only applying syntax and semantic checking in inference do not work well as the model gives poor ranking without learning domain-rule distillation during training. Y et, including domain-rule distillation in the inference phase also help to ﬁx 3 more bugs (KNOD vs. KNOD -distInf), which can be considered as a second guarantee of syntax/semantic checking. In addition to the number of correct ﬁxes, Table V also includes the compilation rate of patches generated by each model. Without the three-stage tree decoder, KNOD -decoder generates a lot more uncompi"
DistiLRR,Fine-Tuning Approaches/Knowledge Distilling/DistiLRR Transferring Code Repair  for Low-Resource Programming Languages..pdf,leakage,1,"4). However, the effects of knowledge transfer on code repair is pri- marily studied on high-resource programming lan- guages (HRPLs), and its generalizability to low- resource programming languages (LRPLs) remains under-explored. Distilling code repair is particularly useful in a low-resource setting because it improves code accuracy without requiring more pretraining data, which is the main limitation for LRPLs. For exam- ple, a modern code LLM DeepSeek-Coder (Guo et al., 2024) is trained on a dataset scraped from Github repositories, containing high-resource lan- guages like Python and Java at rates of 15.12% an 18.63%, while other languages like Perl and Golang are at much lesser rates of 0.1% and 0.32%. Since code repair is effective at increasing pass rates with- out extra pretraining data, understanding when it works best is critical for improving low-resource code generation."
DistiLRR,Fine-Tuning Approaches/Knowledge Distilling/DistiLRR Transferring Code Repair  for Low-Resource Programming Languages..pdf,leakage,1,"e, a modern code LLM DeepSeek-Coder (Guo et al., 2024) is trained on a dataset scraped from Github repositories, containing high-resource lan- guages like Python and Java at rates of 15.12% an 18.63%, while other languages like Perl and Golang are at much lesser rates of 0.1% and 0.32%. Since code repair is effective at increasing pass rates with- out extra pretraining data, understanding when it works best is critical for improving low-resource code generation. Our work investigates if the code repair tech- niques that work on HRPLs are equally applica- ble to LRPLs. If transferring reasoning abilities can sufficiently enhance LRPL code repair, then it could mitigate the problem of low representation in pretraining data. Thus, we aim to understand the efficacy of distilling code repair for LRPLs and offer a guideline on whether to prioritize reasoning or code knowledge. To do so, we"
DistiLRR,Fine-Tuning Approaches/Knowledge Distilling/DistiLRR Transferring Code Repair  for Low-Resource Programming Languages..pdf,leakage,1,"extra pretraining data, understanding when it works best is critical for improving low-resource code generation. Our work investigates if the code repair tech- niques that work on HRPLs are equally applica- ble to LRPLs. If transferring reasoning abilities can sufficiently enhance LRPL code repair, then it could mitigate the problem of low representation in pretraining data. Thus, we aim to understand the efficacy of distilling code repair for LRPLs and offer a guideline on whether to prioritize reasoning or code knowledge. To do so, we compare two approaches to distillation: the first is transferring only reasoning (rationale-only), while the second is 1 arXiv:2406.14867v2 [cs.LG] 16 Oct 2024 [[PAGE 2]] (2) Initial Code LLM for i in range(len(nums)): if nums[i] + nums[i+1] == k: return True return False (1) Prompt (4) Repair Code LLM (3) Test Execution (5) All Tests Pass Given"
DistiLRR,Fine-Tuning Approaches/Knowledge Distilling/DistiLRR Transferring Code Repair  for Low-Resource Programming Languages..pdf,leakage,3,"Orlanski et al., 2023; Zheng et al., 2023b) have created datasets to benchmark code generation in a multilingual setting. Since finding human written low-resource code is difficult, other approaches use capable LLMs to synthetically create low-resource code. Works like MultiPL-T (Cassano et al., 2024) and MultiPL-E (Cassano et al., 2022) translate pop- ular pre-training datasets and monolingual bench- marks into a wide variety of different programming languages. Other works also study the transferabil- ity of coding ability between different languages (Baltaji et al., 2024; Gong et al., 2022). 3 Methodology We provide an overview of a standard code repair framework, followed by an explanation of our dis- tillation from a teacher model to a student model. 3.1 Code Repair Framework We adopt a standard code repair pipeline as the ba- sis of our method. While there exist more complex fram"
DistiLRR,Fine-Tuning Approaches/Knowledge Distilling/DistiLRR Transferring Code Repair  for Low-Resource Programming Languages..pdf,leakage,4,"We identify Python, Javascript, and Java as high- resource, and identify Perl, Golang, and Swift as low-resource. These languages are picked based on having the highest three and lowest three pass rates observed in the original MBXP evaluations (Athi- waratkun et al., 2023), as well as cross referenc- ing the percentage of each language in DeepSeek- Coder’s pretraining dataset (Guo et al., 2024), since it loosely reflects the distribution of programming languages found on Github. For each language, we perform our dataset construction and fine-tune a student model. Then, we generate an initial round of output and perform four rounds of code repair. 4.1 Experimental Setup Models. To show our observations generalize to non-instruction-tuned and different model families, we run our experiments on CodeLlama-7b-Instruct (Rozière et al., 2024), CodeLlama-7b (Rozière et al., 2024), and Mistr"
DistiLRR,Fine-Tuning Approaches/Knowledge Distilling/DistiLRR Transferring Code Repair  for Low-Resource Programming Languages..pdf,extra_validation,7,"een rationale quality and code correctness in Table 2. We quantitatively show that repair models frequently generate cor- rect rationales, yet still generate incorrect code, exposing a weak correlation between the reasoning process and code editing process. We use GPT-4 as an LLM judge to determine whether a rationale is sufficient or insufficient. Although human evaluation would be preferred, crowdsourcing participants well-versed in program- ming languages like Perl and Swift and capable of solving the coding problems found in HumanEval is challenging. We picked GPT-4 because the distilled rationales were generated with GPT-3.5- Turbo, and we aimed to use a more advanced and reliable model for better assessments (Zheng et al., 2023a). To obtain judgements, we present a question, incorrect code, error message, and rationale to GPT- 4, and instruct it to produce a verdict. A ratio"
DistiLRR,Fine-Tuning Approaches/Knowledge Distilling/DistiLRR Transferring Code Repair  for Low-Resource Programming Languages..pdf,extra_validation,18,"y and code correctness is weaker than previously perceived, and that distilling both rationales and code teaches models to respond better to feedback. ### Instruction: You are given an incorrect perl function and an error message. Explain how to fix the error, and then write an updated perl function with the correct code. ### Incorrect Code: # You are an expert Perl programmer, and here is your task. # # remove_vowels is a function that takes string and returns string without vowels. # >>> remove_vowels('') # '' # >>> remove_vowels(""abcdef\nghijklm"") # 'bcdf\nghjklm' # >>> remove_vowels('abcdef') # 'bcdf' # >>> remove_vowels('aaaaa') # '' # >>> remove_vowels('aaBAA') # 'B' # >>> remove_vowels('zbcd') # 'zbcd' # sub remove_vowels { my ($text) = @_; $text =~ s/[aeiou]//g; return $text; } ### Error: Exception -- test case 4 did not pass. at temp.pl line 57. ### Res"
DistiLRR,Fine-Tuning Approaches/Knowledge Distilling/DistiLRR Transferring Code Repair  for Low-Resource Programming Languages..pdf,extra_validation,19,"-code model, we see a good rationale that suggests adding uppercase letters to the regex, followed by correct code modifications. 18 [[PAGE 19]] ### Instruction: You are given an incorrect golang function and an error message. Explain how to fix the error, and then write an updated golang function with the correct code. ### Incorrect Code: // You're an expert Golang programmer // Return the largest prime factor of n. Assume n > 1 and is not a prime. // >>> largest_prime_factor(13195) // 29 // >>> largest_prime_factor(2048) // 2 // func largest_prime_factor (n int) int { for n % 2 == 0 { n = n / 2 } for n % 3 == 0 { n = n / 3 } for n % 5 == 0 { n = n / 5 } for n % 7 == 0 { n = n / 7 } return n } ### Error: panic: Exception --- test case 0 failed to pass ### Response: The incorrect function is wrong be"
DistiLRR,Fine-Tuning Approaches/Knowledge Distilling/DistiLRR Transferring Code Repair  for Low-Resource Programming Languages..pdf,extra_validation,20,"de model, we see a good rationale that provides a plan of iterating over prime factors, followed by correct code modifications. 19 [[PAGE 20]] ### Instruction: You are given an incorrect swift function and an error message. Explain how to fix the error, and then write an updated swift function with the correct code. ### Incorrect Code: /** * You are an expert Swift programmer, and here is your task. * Return list of prime factors of given integer in the order from smallest to largest. * Each of the factors should be listed number of times corresponding to how many times it appears in factorization. * Input number should be equal to the product of all factors * >>> factorize(8) * [2, 2, 2] * >>> factorize(25) * [5, 5] * >>> factorize(70) * [2, 5, 7] * */ func factorize(n : Int) -> [Int] { var factors = [Int]() var i = 2 while i * i <= n {"
NARRepair,Fine-Tuning Approaches/Knowledge Distilling/Narrepair Non-autoregressive code generation model for  automatic program repair.pdf,leakage,12,"aset, which contains code text pairs (buggy and correct) generated for common types of program errors by self-supervision. We discard some data for which we could not generate the AST and retain 837, 059 pieces of data. Since this dataset is machine-generated, we collect additional datasets from real projects on GitHub to supplement this dataset. To prevent data leakage, we remove projects related to Defect4J[21] and QuixBugs[30]. Finally, our dataset contains 1.52 million instances, and we use 90% of the dataset as training data and 10% as validation data. We use three widely used datasets for the APR task to evaluate the model performance. The first one is Defect4J v1.2 [21], which contains 395 bugs in real Java projects. The second one is Defect4J v2.0 [ 21], which contains 438 additional bugs compared to Defect4J v1.2. The third one is QuixBugs [30], which contains 40 Java"
NARRepair,Fine-Tuning Approaches/Knowledge Distilling/Narrepair Non-autoregressive code generation model for  automatic program repair.pdf,extra_validation,22,"lications: software for humanity . 55–56. [31] Kui Liu, Dongsun Kim, Tegawendé F Bissyandé, Shin Yoo, and Yves Le Traon. 2018. Mining fix patterns for findbugs violations.IEEE Transactions on Software Engineering 47, 1 (2018), 165–188. [32] Kui Liu, Anil Koyuncu, Dongsun Kim, and Tegawendé F Bissyandé. 2019. Avatar: Fixing semantic bugs with fix patterns of static analysis violations. In 2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering (SANER) . IEEE, 1–12. [33] Kui Liu, Anil Koyuncu, Dongsun Kim, and Tegawendé F Bissyandé. 2019. TBar: Revisiting template-based automated program repair. In Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis . 31–42. [34] Yinhan Liu, Myle Ott, Naman Goyal, Jingfei Du, Mandar Joshi, Danqi Chen, Omer Levy, Mike Lewis, Luke Zettlemoyer, and Veselin Stoyanov. 2019. Rober"
NARRepair,Fine-Tuning Approaches/Knowledge Distilling/Narrepair Non-autoregressive code generation model for  automatic program repair.pdf,extra_validation,23,"P ’18). Association for Computing Machinery, New York, NY, USA, 95–104. https://doi.org/10.1145/3183519.3183540 [60] Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N Gomez, Łukasz Kaiser, and Illia Polosukhin. 2017. Attention is all you need. Advances in neural information processing systems 30 (2017). [61] Iris Vessey. 1985. Expertise in debugging computer programs: A process analysis.International Journal of Man-Machine Studies 23, 5 (1985), 459–494. [62] Yiren Wang, Fei Tian, Di He, Tao Qin, ChengXiang Zhai, and Tie-Yan Liu. 2019. Non-autoregressive machine translation with auxiliary regularization. In Proceedings of the AAAI conference on artificial intelligence , Vol. 33. 5377–5384. Manuscript submitted to ACM [[PAGE 24]] 24 Zhenyu Yang, Zhen Yang, and Zhongxing Yu [63] Yue Wang, Weishi Wang, Shafiq Joty, and Steven CH Hoi. 2021. Codet"
RePair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Repair  Automated program repair with process-based feedback.pdf,leakage,6,".04 Our Model15B 51.61 44.13 40.57 44.3462.47 59.98 52.34 60.0167.75 64.14 60.32 65.66 Table 3: Results on CodeNet4Repair: compared to open-source models, our process-based feedback method has demonstrated superior performance. It also remains competitive when compared with commercial LLMs. Figure 3 (b) shows the distribution of these test cases. To prevent data leakage, we divided Co- deNet4Repair based on the problem ID in a ratio of 9:1. The training set consists of 94,062 repair processes, while the testing set comprises 10,144 repair processes. Table 2 provides the statistical information about filtered dataset. 4.2 Experimental Setup In the fine-tuning stage, we train our model using mixed precision training. We use AdamW opti- mizer with 2e-5 learning rate. To prevent train- ing instability caused by an excessively high learn- ing rate, we utilize a cosine LR schedule d"
RePair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Repair  Automated program repair with process-based feedback.pdf,extra_validation,1,"to-generate code has further *Corresponding author 1Code and data are publicly available at https://github. com/TnTWoW/RePair • [1, 1, 1, 2] • [2, 3, 3] • [1]*10000 Given an array nums of size n, return the majority element. The majority element is the element that appears more than n/2 times. Problem Description Compiler Memory Limit Exceed Accepted Hidden Test Case Hidden Test Case • [1, 1, 1, 2] • [2, 3, 3] • [1]*10000 Memory Limit: O(1) Time Limit: O(n) Time Limit Exceed Submission 1 def majorityElement(nums): nums.sort() return nums[len(nums)/2] Submission 1 def majorityElement(nums): nums.sort() return nums[len(nums)/2] Submission 3 def majorityElement(nums): vote=0 for num in nums: if vote == 0: x=num vote+=1 if num==x else -1 return x Submission 3 def majorityElement(nums): vote=0 for num in nums: if"
RePair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Repair  Automated program repair with process-based feedback.pdf,extra_validation,1,"has further *Corresponding author 1Code and data are publicly available at https://github. com/TnTWoW/RePair • [1, 1, 1, 2] • [2, 3, 3] • [1]*10000 Given an array nums of size n, return the majority element. The majority element is the element that appears more than n/2 times. Problem Description Compiler Memory Limit Exceed Accepted Hidden Test Case Hidden Test Case • [1, 1, 1, 2] • [2, 3, 3] • [1]*10000 Memory Limit: O(1) Time Limit: O(n) Time Limit Exceed Submission 1 def majorityElement(nums): nums.sort() return nums[len(nums)/2] Submission 1 def majorityElement(nums): nums.sort() return nums[len(nums)/2] Submission 3 def majorityElement(nums): vote=0 for num in nums: if vote == 0: x=num vote+=1 if num==x else -1 return x Submission 3 def majorityElement(nums): vote=0 for num in nums: if vote == 0: x=num"
RePair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Repair  Automated program repair with process-based feedback.pdf,extra_validation,1,"in software development and programming competi- tion. The confrontation arises when these defective programs encounter errors only when they receive rare and unexpected inputs. Moreover, it requires experienced programmers to invest substantial time in identifying and rectifying errors. A sophisticated Automated Program Repair (APR) system can re- duce the expertise threshold and time commitment required, significantly enhancing the robustness of the program. Prior works viewed APR as a sequence-to- sequence task, then LLMs, with their massive model parameters and training data, can address this issue through zero- or few-shot learning (Jiang et al., 2021; OpenAI, 2023; Ouyang et al., 2022; Chen et al., 2021; Zeng et al., 2022; Touvron et al., 2023; Hoffmann et al., 2022; Anil et al., 2023; Chen et al., 2022; Le et al., 2022; Rozière et al., 2024; Guo et al., 2024; Wei et"
RePair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Repair  Automated program repair with process-based feedback.pdf,extra_validation,5,"s longer than that required in multiple steps. Despite an increase in overall cost, step-by-step repairing can reduce the complexity of tasks. We ensure evaluation quality by using only ques- tions with high-quality test cases for our training and testing sets. We manually annotate and collect additional high-quality test cases from the internet to serve as hidden tests for each problem. This process resulted in test cases for 794 questions. [[PAGE 6]] Model Size pass@1 pass@3 pass@5 Easy Medium Hard All Easy Medium Hard All Easy Medium Hard All Close-source PaLM 540B 16.83 15.94 18.57 17.1322.07 29.38 27.86 26.1124.39 37.50 31.43 30.56 GPT-3.5 - 53.41 45.32 39.14 46.3965.24 62.03 58.57 62.1368.29 65.63 65.71 66.67 Claude2 - 50.73 43.75 36.29 43.9865.12 63.75 55.29 61.5371.95 73.44 62.86 69.44 ChatGLM-Pro - 20.49 20.94 17.43 19.6323.17 27.19 24.43 24.7724.39 29.69 28.57 27.31"
RePair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Repair  Automated program repair with process-based feedback.pdf,extra_validation,10,"Melanie Subbiah, Jared D Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, et al. 2020. Language models are few-shot learners. Advances in neural information processing systems, 33:1877–1901. Bei Chen, Fengji Zhang, Anh Nguyen, Daoguang Zan, Zeqi Lin, Jian-Guang Lou, and Weizhu Chen. 2022. Codet: Code generation with generated tests. Mark Chen, Jerry Tworek, et al. 2021. Evaluating large language models trained on code. Paul F Christiano, Jan Leike, Tom Brown, Miljan Mar- tic, Shane Legg, and Dario Amodei. 2017. Deep reinforcement learning from human preferences. In Advances in Neural Information Processing Systems, volume 30. Curran Associates, Inc. Pierre Jean A. Colombo, Chloé Clavel, and Pablo Pi- antanida. 2022. Infolm: A new metric to evaluate summarization and data2text generation. Proceed- ings of the AAAI Conference on Artificial In"
RePair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Repair  Automated program repair with process-based feedback.pdf,extra_validation,12,"effrey Wu, Tom B. Brown, Alec Radford, Dario Amodei, Paul Chris- tiano, and Geoffrey Irving. 2020. Fine-tuning lan- guage models from human preferences. A Appendix A.1 Prompts Used in Experiments Input: {problem description}{vulnerable program} Optional Input: {standard test case} Output: {repaired program} System: You will play the role of a programming expert. Given a problem and incorrect program, please fix the errors in the program and provide the correct program. Note that you need to use markdown format for the code section. Please ensure that the program is executable. User: Problem: {problem description} Incorrect program: {vulnerable program} Assistant: {output response} (User parses and executes the repaired program to obtain the execution results.) User: The program {repaired program} expects the outputs: {standard test case}, but the actual output is"
SecRepair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/LLM-Powered Code Vulnerability Repair.pdf,leakage,,
SecRepair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/LLM-Powered Code Vulnerability Repair.pdf,extra_validation,1,"e vulnerabil- ities are critical concerns that require constant attention and proactive measures to mitigate potential risks (White- House 2023; NSA 2022). Vulnerabilities as small as the Null Pointer Exception, often referred to as the Billion Dollar Mistake (Eichholz et al. 2019) can adversely create security weaknesses and gaps that cyber criminals could exploit to propagate malware and ultimately carry out nefarious activ- ities (CISA). Code vulnerabilities can arise from technical glitches, human errors, Open-Source Software (OSS) reuse, and even unforeseen zero-day attacks (Woo et al. 2022; Jang, Agrawal, and Brumley 2012; Kim et al. 2017). Developer:Is the following code vulnerable?static void Buffer_Overread{...for(i=0; i < 99; i++) {dest[i] = src[i];}}Model:YesDeveloper:How do I repair the code?Model:static void Buffer_Overread_Fix() {...for(i=0; i < 99; i++){dest[i"
SecRepair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/LLM-Powered Code Vulnerability Repair.pdf,extra_validation,3,"al. 2021) and BPE tokenizer. However, with the advent of code-based LLMs like Codex (Chen et al. 2021), works pro- posed by Pearce et al. (Pearce et al. 2022b) and Jesse et al. (Jesse et al. 2023) and Prenner (Prenner and Robbes 2021) demonstrated their capability to repair vulnerable code with zero-shot learning. [[PAGE 3]] Vulnerable Code Code Security Experts Code Annotation Repaired Code // Vulnerability Description // /*Code Comment*/ Instruction Data Creation //////////// /****/* *//* *//* *//* *//* */ Code Repair and Description Generation using Fine Tuned Instruct Training Vulnerable Code >>>>>>>>>>>> Instructions Causal LLM Repaired Code // Vulnerability Description // //////////// Code Comment Generation using Reinforcement Learning with BERT Reward Function /*Code Comment*/ /****/* *//* *//* *//* *//*"
SecRepair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/LLM-Powered Code Vulnerability Repair.pdf,extra_validation,4,". Building upon this foundation, we extend the dataset by incorporating instructions with de- scriptions and code comments. Input generation, ( I, Ci). Our input consists of the in- struction we provide in natural language, and the context in- put is a code. We combine these two to generate the final in- put. Based on the four tasks we perform, our security experts created 20 seed questions for each task. In order to provide context to the instruction, we use the vulnerable code as the contextual input. Context input act as a supplement to the instruction. Output Generation, ( y). Based on the task provided by our instruction, we provide four types of output. Firstly if the instruction asks to identify the vulnerable code, the out- put is yes/no, indicating the existence of a vulnerability in the code. Secondly, if the instruction asks about generating the fixed code, the o"
SecRepair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/LLM-Powered Code Vulnerability Repair.pdf,extra_validation,5,"g/) with a hint to solve the vulnera- bility. We combine these two together and create a compre- hensive description for each vulnerable code. Code Comment Generation: Furthermore, we added code comments for each vulnerable code. A code comment is a shortened and concise version of the vulnerable code that a developer uses during a code commit. Our security experts and developers handcrafted 1000 code commits which took approximately 80 human hours. They used the descriptions as a suggestion to generate the code comments. In order to keep the comments concise, all the comments are kept be- tween one to three lines. After creating all the components, we combine these with specific instructions based on their task. Therefore in total, we have 18086 entities in our dataset. Quality of Data Extracting vulnerable and repaired functions from a single file in the VulDeelocator dat"
SecRepair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/LLM-Powered Code Vulnerability Repair.pdf,extra_validation,5,"oximately in 5% of cases, vulnerable code does not have a fix and was not added as a part of our dataset. We developed a robust regular expression to identify each function’s start accurately and used JOERN 2 to extract in- dividual vulnerable and non-vulnerable code. Subsequently, we verified the correctness of the repaired code manually by having security experts randomly examine 200 entities of our dataset with their corresponding repairs, descriptions, and code comment. Experiments and Discussions In this section, we will go over the evaluation metrics and then provide details on our experimentation based on the re- search questions we provided. Evaluation Metrics Since we use a generative model for vulnerability repair, de- scription generation, and code comment, we used the met- rics like BLEU, Rouge-L, and human evaluation scores suit- able for generative models. How"
SecRepair,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/LLM-Powered Code Vulnerability Repair.pdf,extra_validation,5,"code comment. Experiments and Discussions In this section, we will go over the evaluation metrics and then provide details on our experimentation based on the re- search questions we provided. Evaluation Metrics Since we use a generative model for vulnerability repair, de- scription generation, and code comment, we used the met- rics like BLEU, Rouge-L, and human evaluation scores suit- able for generative models. However, we use F1, Precision, Recall, and Accuracy for vulnerability identification tasks. BLEU Score: The BLEU (Papineni et al. 2002) score is a syntax-based way for evaluating machine-generated text between 0 and 1. It is a reference-based metric and may not 1https://github.com/sahil280114/codealpaca 2https://joern.io/ capture all aspects of translation quality, such as fluency or semantic accuracy. Rouge-L: Similar to BLEU, Rouge-L (Lin 2004) score is also a number b"
SWE-RL,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Swe-rl Advancing llm reasoning via reinforcement learning on open software  evolution..pdf,leakage,3,"solely to real-world SE tasks, such as issue solving, can already enhance an LLM’s general reasoning abilities, enabling it to improve on out-of-domain tasks like math, code generation, and general language understanding. 2 SWE-RL 2.1 Raw pull request data curation Synthetic code 2B tokens GitHub events Self-contained PRs Download GH Archive Aggregate and decontaminate Predict relevant but unchanged ﬁles PRs with relevant ﬁles Filter Raw PR dataset GitHub Git clones Figure 2 Overview of SWE-RL’s raw pull request data curation process. The collected git clones and GitHub events are transformed into self-contained PR instances via decontamination, aggregation, relevant files prediction, and filtering. Figure 2 provides a high-level overview of our process for curating the raw PR dataset forLlama3-SWE-RL. In the following paragraphs, we detail each step of the curation process. D"
SWE-RL,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Swe-rl Advancing llm reasoning via reinforcement learning on open software  evolution..pdf,leakage,3,"e 2B tokens GitHub events Self-contained PRs Download GH Archive Aggregate and decontaminate Predict relevant but unchanged ﬁles PRs with relevant ﬁles Filter Raw PR dataset GitHub Git clones Figure 2 Overview of SWE-RL’s raw pull request data curation process. The collected git clones and GitHub events are transformed into self-contained PR instances via decontamination, aggregation, relevant files prediction, and filtering. Figure 2 provides a high-level overview of our process for curating the raw PR dataset forLlama3-SWE-RL. In the following paragraphs, we detail each step of the curation process. During data processing, we exclude all the repositories used by SWE-bench (Jimenez et al., 2023) to prevent data contamination. GitHub events and clones. The goal of this stage is to recover all pull request details that human developers can inspect on GitHub. To achieve this, we"
SWE-RL,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Swe-rl Advancing llm reasoning via reinforcement learning on open software  evolution..pdf,leakage,3,"ntamination, aggregation, relevant files prediction, and filtering. Figure 2 provides a high-level overview of our process for curating the raw PR dataset forLlama3-SWE-RL. In the following paragraphs, we detail each step of the curation process. During data processing, we exclude all the repositories used by SWE-bench (Jimenez et al., 2023) to prevent data contamination. GitHub events and clones. The goal of this stage is to recover all pull request details that human developers can inspect on GitHub. To achieve this, we need two sources of information: (1) all events that occur within a PR and (2) the source code of a repo before the changes introduced by the PR are merged. We derive all GitHub (GitHub, 2025) events from GHArchive (Grigorik, 2025), which contains all activity events data from GitHub. Our collection includes all GitHub events from Jan 1, 2015 to Aug 31, 2024."
SWE-RL,Fine-Tuning Approaches/Reinforcement Learning Fine-Tuning/Swe-rl Advancing llm reasoning via reinforcement learning on open software  evolution..pdf,leakage,13,"://arxiv.org/abs/2409.12186. Kush Jain, Gabriel Synnaeve, and Baptiste Rozière. Testgeneval: A real world unit test generation and test completion benchmark, 2024a. https://arxiv.org/abs/2410.00752. Naman Jain, King Han, Alex Gu, Wen-Ding Li, Fanjia Yan, Tianjun Zhang, Sida Wang, Armando Solar-Lezama, Koushik Sen, and Ion Stoica. Livecodebench: Holistic and contamination free evaluation of large language models for code, 2024b. Nan Jiang, Kevin Liu, Thibaud Lutellier, and Lin Tan. Impact of code language models on automated program repair, 2023. Carlos E. Jimenez, John Yang, Alexander Wettig, Shunyu Yao, Kexin Pei, Ofir Press, and Karthik Narasimhan. Swe-bench: Can language models resolve real-world github issues?, 2023. Carlos E. Jimenez, John Yang, Alexander Wettig, Shunyu Yao, Kexin Pei, Ofir Press, and Karthik Narasimhan. Swe-bench leaderboard. https://www.swebench.com, 202"
