record_id,title,year,venue,doi,final_reference_decision,audit_coder_a_decision,audit_coder_b_raw_decision,audit_coder_b_after_adjudication_decision,audit_coder_a_b_raw_match,audit_coder_b_after_adjudication_matches_final,adjudication_note
S5-185,GAMMA: Revisiting Template-based Automated Program Repair via Mask Prediction,2023,ASE 2023,https://arxiv.org/abs/2309.09308,exclude,exclude,exclude,exclude,true,true,
S5-186,Generalized regenerating codes and node repair on graphs,2024,arXiv,10.1109/tit.2025.3532625,exclude,exclude,exclude,exclude,true,true,
S5-187,Genetic Programming with Model Driven Dimension Repair for Learning Interpretable Appointment Scheduling Rules,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-188,GenProgJS: A Baseline System for Test-Based Automated Repair of JavaScript Programs,2024,TSE,10.1109/tse.2024.3497798,exclude,exclude,exclude,exclude,true,true,
S5-189,Gradient-Based Program Repair: Fixing Bugs in Continuous Program Spaces,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-190,HAFixAgent: History-Aware Automated Program Repair Agent,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-191,Hierarchical Knowledge Injection for Improving LLM-based Program Repair,2025,ASE 2025,10.1109/ASE63991.2025.00122,include,include,include,include,true,true,
S5-192,Hit The Bullseye On The First Shot: Improving LLMs Using Multi-Sample Self-Reward Feedback for Vulnerability Repair,2025,ASE 2025,,exclude,exclude,exclude,exclude,true,true,
S5-193,HornBro: Homotopy-like Method for Automated Quantum Program Repair,2025,FSE 2025,10.1145/3715751,exclude,exclude,exclude,exclude,true,true,
S5-194,How do Developers <i>Really</i> Feel About Bug Fixing? Directions for Automatic Program Repair,2022,TSE,10.1109/tse.2022.3194188,exclude,exclude,exclude,exclude,true,true,
S5-195,How Far Can We Go with Practical Function-Level Program Repair?,2024,arXiv.org,10.48550/arxiv.2404.12833,exclude,exclude,exclude,exclude,true,true,
S5-196,How Small is Enough? Empirical Evidence of Quantized Small Language Models for Automated Program Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-197,How We Built Cedar: A Verification-Guided Approach,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-198,HuLA: Prosody-Aware Anti-Spoofing with Multi-Task Learning for Expressive and Emotional Synthetic Speech,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-199,Human-in-the-Loop Automatic Program Repair,2023,TSE,10.1109/tse.2023.3305052,exclude,exclude,exclude,exclude,true,true,
S5-200,Hybrid Automated Program Repair by Combining Large Language Models and Program Analysis,2025,TOSEM,10.1145/3715004,exclude,exclude,exclude,exclude,true,true,
S5-201,<i>ContrastRepair</i> : Enhancing Conversation-Based Automated Program Repair via Contrastive Test Case Pairs,2025,TOSEM,10.1145/3719345,exclude,exclude,exclude,exclude,true,true,
S5-202,Identifying Helpful Context for LLM-based Vulnerability Repair: A Preliminary Study,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-203,"Illuminating the lantern: coherent, spectro-polarimetric characterisation of a multimode converter",2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-204,Impact of Code Language Models on Automated Program Repair,2023,ICSE 2023,https://arxiv.org/abs/2302.05020,include,include,exclude,include,false,true,retained: empirical study proposes or evaluates a key LLM-based repair method used in the taxonomy/evidence base
S5-205,Implicit Electric Field Conjugation with the Photonic Lantern Nuller,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-206,Improved Program Repair Methods using Refactoring with GPT Models,2024,Technical Symposium on Computer Science Education,10.1145/3626252.3630875,exclude,exclude,exclude,exclude,true,true,
S5-207,Improving Automated Program Repair with Domain Adaptation,2023,TOSEM,10.1145/3631972,exclude,exclude,exclude,exclude,true,true,
S5-208,Improving Fault Localization and Program Repair with Deep Semantic Features and Transferred Knowledge,2022,ICSE 2022,10.1145/3510003.3510147,exclude,exclude,exclude,exclude,true,true,
S5-209,InferFix: End-to-End Program Repair with LLMs,2023,ESEC/SIGSOFT FSE,10.1145/3611643.3613892,include,include,include,include,true,true,
S5-210,InfraFix: Technology-Agnostic Repair of Infrastructure as Code,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-211,Input Reduction Enhanced LLM-based Program Repair,2026,ICSE 2026,10.1145/3744916.3787760,exclude,exclude,exclude,exclude,true,true,
S5-212,InspectCoder: Dynamic Analysis-Enabled Self Repair through interactive LLM-Debugger Collaboration,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-213,Integrating Various Software Artifacts for Better LLM-based Bug Localization and Program Repair,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-214,INTENTFIX: Automated Logic Vulnerability Repair via LLM-Driven Intent Modeling,2026,ICSE 2026,,exclude,exclude,exclude,exclude,true,true,
S5-215,Invalidator: Automated Patch Correctness Assessment via Semantic and Syntactic Reasoning,2023,TSE,10.1109/tse.2023.3255177,exclude,exclude,exclude,exclude,true,true,
S5-216,Investigating the Transferability of Code Repair for Low-Resource Programming Languages,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-217,Is Self-Repair a Silver Bullet for Code Generation?,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-218,Is the Cure Still Worse Than the Disease? Test Overfitting by LLMs in Automated Program Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-219,Is this Change the Answer to that Problem? Correlating Descriptions of Bug and Code Changes for Evaluating Patch Correctness,2022,ASE 2022,https://andrewhabib.org/publications/ase22-Quatrain.pdf,exclude,exclude,exclude,exclude,true,true,
S5-220,Issue Localization via LLM-Driven Iterative Code Graph Searching,2025,ASE 2025,,exclude,exclude,exclude,exclude,true,true,
S5-221,Kimi-Dev: Agentless Training as Skill Prior for SWE-Agents,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-222,KNOD: Domain Knowledge Distilled Tree Decoder for Automated Program Repair,2023,ICSE 2023,https://arxiv.org/abs/2302.01857,include,include,include,include,true,true,
S5-223,Knowledge-Enhanced Program Repair for Data Science Code,2025,ICSE 2025,,include,include,include,include,true,true,
S5-224,Laboratory demonstration of a Photonic Lantern Nuller in monochromatic and broadband light,2024,arXiv,10.1117/1.jatis.10.2.025001,exclude,exclude,exclude,exclude,true,true,
S5-225,LANTERN: A Machine Learning Framework for Lipid Nanoparticle Transfection Efficiency Prediction,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-226,LANTERN: Accelerating Visual Autoregressive Models with Relaxed Speculative Decoding,2025,ICLR 2025,https://openreview.net/forum?id=fO614k4l16,exclude,exclude,exclude,exclude,true,true,
S5-227,LANTERN++: Enhancing Relaxed Speculative Decoding with Static Tree Drafting for Visual Auto-regressive Models,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-228,LANTERN: Scalable Distillation of Large Language Models for Job-Person Fit and Explanation,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-229,Lares: LLM-driven Code Slice Semantic Search for Patch Presence Testing,2025,ASE 2025,,exclude,exclude,exclude,exclude,true,true,
S5-230,Lateral Ventricular Brain-Computer Interface System with Lantern-Inspired Electrode for Stable Performance and Memory Decoding,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-231,Learn-by-interact: A Data-Centric Framework For Self-Adaptive Agents in Realistic Environments,2025,ICLR 2025,https://openreview.net/forum?id=73K01IjUfj,include,include,include,include,true,true,
S5-232,Leave it to the Specialist: Repair Sparse LLMs with Sparse Fine-Tuning via Sparsity Evolution,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-233,Less is More: Adaptive Program Repair with Bug Localization and Preference Learning,2025,AAAI 2025,10.1609/aaai.v39i1.31988,include,include,include,include,true,true,
S5-234,"Less Training, More Repairing Please: Revisiting Automated Program Repair via Zero-Shot Learning",2022,FSE 2022,10.1145/3540250.3549101,include,include,include,include,true,true,
S5-235,"Let’s Talk <i>With</i> Developers, Not <i>About</i> Developers: A Review of Automatic Program Repair Research",2022,TSE,10.1109/tse.2022.3152089,exclude,exclude,exclude,exclude,true,true,
S5-236,Linear exact repair schemes for free MDS and Reed-Solomon codes over Galois rings,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-237,Live-SWE-agent: Can Software Engineering Agents Self-Evolve on the Fly?,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-238,"LLM-Based Repair of C++ Implicit Data Loss Compiler Warnings: An Industrial Case StudyChansong You, Hyun Deok Choi, Jingun Hong",2025,APR,,exclude,exclude,exclude,exclude,true,true,
S5-239,LLM-Based Repair of Static Nullability Errors,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-240,LLM-Cure: LLM-based Competitor User Review Analysis for Feature Enhancement,2024,arXiv,10.1145/3744644,exclude,exclude,exclude,exclude,true,true,
S5-241,LLM-Enhanced Software Patch Localization,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-242,LLM-GUARD: Large Language Model-Based Detection and Repair of Bugs and Security Vulnerabilities in C++ and Python,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-243,LLM-Powered Code Vulnerability Repair with Reinforcement Learning and Semantic Reward,2024,arXiv,,include,include,include,include,true,true,
S5-244,LLM4CVE: Enabling Iterative Automated Vulnerability Repair with Large Language Models,2025,arXiv,10.48550/arXiv.2501.03446,include,include,include,include,true,true,
S5-245,LLMPort: Cross-file Patch Porting via Task Decomposition and Self-correction,2025,ASE 2025,,exclude,exclude,exclude,exclude,true,true,
S5-246,LLMs Can Patch Up Missing Relevance Judgments in Evaluation,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-247,LLOR: Automated Repair of OpenMP Programs,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-248,"Logs In, Patches Out: Automated Vulnerability Repair via Tree-of-Thought LLM Analysis",2025,USENIX Security 2025,,exclude,exclude,exclude,exclude,true,true,
S5-249,LogUpdater: Automated Detection and Repair of Specific Defects in Logging Statements,2025,TOSEM,10.1145/3731754,exclude,exclude,exclude,exclude,true,true,
S5-250,Lower Bounds on the Sub-Packetization of Optimal-Access MSR Codes for Multiple-Node Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-251,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,2024,NeurIPS 2024,,include,include,include,include,true,true,
S5-252,MAGIS (Measuring Abundances of red super Giants with Infrared Spectroscopy) project I. Establishment of an abundance analysis procedure for red supergiants and its evaluation with nearby stars,2025,arXiv,10.1051/0004-6361/202452392,exclude,exclude,exclude,exclude,true,true,
S5-253,MASteer: Multi-Agent Adaptive Steer Strategy for End-to-End LLM Trustworthiness Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-254,MatchFixAgent: Language-Agnostic Autonomous Repository-Level Code Translation Validation and Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-255,Maximizing Patch Coverage for Testing of Highly-Configurable Software without Exploding Build Times,2024,arXiv,10.1145/3643746,exclude,exclude,exclude,exclude,true,true,
S5-256,MCTS-Refined CoT: High-Quality Fine-Tuning Data for LLM-Based Repository Issue Resolution,2025,ASE 2025,,exclude,exclude,exclude,exclude,true,true,
S5-257,MDS Array Codes With (Near) Optimal Repair Bandwidth for All Admissible Repair Degrees,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-258,Memory-Efficient Large Language Models for Program Repair with Semantic-Guided Patch Generation,2026,ICSE 2026,,exclude,exclude,exclude,exclude,true,true,
S5-259,MergeRepair: An Exploratory Study on Merging Task-Specific Adapters in Code LLMs for Automated Program Repair,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-260,Modelling the propagation of coronal mass ejections with COCONUT: implementation of the Regularized Biot-Savart Laws flux rope model,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-261,MORepair: Teaching LLMs to Repair Code via Multi-Objective Fine-Tuning,2025,TOSEM,10.1145/3735129,include,include,include,include,true,true,
S5-262,MTL-TRANSFER: Leveraging Multi-task Learning and Transferred Knowledge for Improving Fault Localization and Program Repair,2024,TOSEM,10.1145/3654441,exclude,exclude,exclude,exclude,true,true,
S5-263,Multi-Grained Patch Training for Efficient LLM-based Recommendation,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-264,Multi-LLM Collaboration + Data-Centric Innovation = 2x Better Vulnerability Repair,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-265,Multi-Patch Prediction: Adapting LLMs for Time Series Representation Learning,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-266,Multi-Task Program Error Repair and Explanatory Diagnosis,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-267,Multilevel Semantic Embedding of Software Patches: A Fine-to-Coarse Grained Approach Towards Security Patch Detection,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-268,MultiMend: Multilingual Program Repair with Context Augmentation and Multi-Hunk Patch Generation,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-269,Mystique: Automated Vulnerability Patch Porting with Semantic and Syntactic-Enhanced LLM,2025,FSE 2025,10.1145/3715718,exclude,exclude,exclude,exclude,true,true,
S5-270,NARRepair: Non-Autoregressive Code Generation Model for Automatic Program Repair,2024,arXiv,,include,include,include,include,true,true,
S5-271,NAVRepair: Node-type Aware C/C++ Code Vulnerability Repair,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-272,Neural Program Repair using Execution-based Backpropagation,2022,ICSE 2022,https://arxiv.org/pdf/2105.04123.pdf,exclude,exclude,exclude,exclude,true,true,
S5-273,Neural Program Repair with Program Dependence Analysis and Effective Filter Mechanism,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-274,Neurosymbolic Repair for Low-Code Formula Languages,2022,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-275,NIODebugger: A Novel Approach to Repair Non-Idempotent-Outcome Tests with LLM-Based Agent,2025,ICSE 2025,,exclude,exclude,exclude,exclude,true,true,
S5-276,"No Man is an Island: Towards Fully Automatic Programming by Code Search, Code Generation and Program Repair",2024,arXiv.org,10.48550/arxiv.2409.03267,exclude,exclude,exclude,exclude,true,true,
S5-277,Not Every Patch is an Island: LLM-Enhanced Identification of Multiple Vulnerability Patches,2025,ASE 2025,,exclude,exclude,exclude,exclude,true,true,
S5-278,NTR-Gaussian: Nighttime Dynamic Thermal Reconstruction with 4D Gaussian Splatting Based on Thermodynamics,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-279,On-sky demonstration of second-stage wavefront control with a photonic lantern,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-280,On-sky Demonstration of Subdiffraction-limited Astronomical Measurement Using a Photonic Lantern,2025,arXiv,10.3847/2041-8213/ae0739,exclude,exclude,exclude,exclude,true,true,
S5-281,On The Effectiveness of Dynamic Reduction Techniques in Automated Program Repair,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-282,On the need to perform comprehensive evaluations of automated program repair benchmarks: Sorald case study,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-283,One Size Does Not Fit All: Multi-granularity Patch Generation for Better Automated Program RepairACM SIGSOFT Distinguished Paper Award,2024,ISSTA 2024,10.1145/3650212.3680381,exclude,exclude,exclude,exclude,true,true,
S5-284,OpenHands: An Open Platform for AI Software Developers as Generalist Agents,2025,ICLR 2025,https://openreview.net/forum?id=OJd3ayDDoF,include,include,include,include,true,true,
S5-285,Optimal number of stabilizer measurement rounds in an idling surface code patch,2024,arXiv,10.22331/q-2025-06-12-1767,exclude,exclude,exclude,exclude,true,true,
S5-286,"Optimal Repair of $(k+2, k, 2)$ MDS Array Codes",2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-287,Out of Context: How important is Local Context in Neural Program Repair?,2024,ICSE 2024,,exclude,exclude,exclude,exclude,true,true,
S5-288,PaCo-FR: Patch-Pixel Aligned End-to-End Codebook Learning for Facial Representation Pre-training,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-289,PAEDID: Patch Autoencoder Based Deep Image Decomposition For Pixel-level Defective Region Segmentation,2022,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-290,PAGENT: Learning to Patch Software Engineering Agents,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-291,PALADIN: Self-Correcting Language Model Agents to Cure Tool-Failure Cases,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-292,Parameter-Efficient Fine-Tuning with Attributed Patch Semantic Graph for Automated Patch Correctness Assessment,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-293,Patch-as-Decodable-Token: Towards Unified Multi-Modal Vision Tasks in MLLMs,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-294,Patch-aware Vector Quantized Codebook Learning for Unsupervised Visual Defect Detection,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-295,Patch-Based Encoder-Decoder Architecture for Automatic Transmitted Light to Fluorescence Imaging Transition: Contribution to the LightMyCells Challenge,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-296,Patch Correctness Assessment in Automated Program Repair Based on the Impact of Patches on Production and Test Code,2022,ISSTA 2022,10.1145/3533767.3534368,exclude,exclude,exclude,exclude,true,true,
S5-297,PATCH: Empowering Large Language Model with Programmer-Intent Guidance and Collaborative-Behavior Simulation for Automatic Bug Fixing,2025,TOSEM,10.1145/3718739,include,include,include,include,true,true,
S5-298,Patch-enhanced Mask Encoder Prompt Image Generation,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-299,PATCH: Learnable Tile-level Hybrid Sparsity for LLMs,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-300,Patch-Level Glioblastoma Subregion Classification with a Contrastive Learning-Based Encoder,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-301,Patch Progression Masked Autoencoder with Fusion CNN Network for Classifying Evolution Between Two Pairs of 2D OCT Slices,2025,arXiv,10.1007/978-3-031-86651-7_9,exclude,exclude,exclude,exclude,true,true,
S5-302,PATCHAGENT: A Practical Program Repair Agent Mimicking Human Expertise,2025,USENIX Security 2025,,exclude,exclude,exclude,exclude,true,true,
S5-303,PatchFinder: A Two-Phase Approach to Security Patch Tracing for Disclosed Vulnerabilities in Open-Source Software,2024,ISSTA 2024,10.1145/3650212.3680305,exclude,exclude,exclude,exclude,true,true,
S5-304,PatchScope: LLM-Enhanced Fine-Grained Stable Patch Classification for Linux Kernel,2025,ISSTA 2025,10.1145/3728944,exclude,exclude,exclude,exclude,true,true,
S5-305,PathFix: Automated Program Repair with Expected Path,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-306,PatUntrack: Automated Generating Patch Examples for Issue Reports without Tracked Insecure Code,2024,ASE 2024,10.1145/3691620.3694982,exclude,exclude,exclude,exclude,true,true,
S5-307,PCART: Automated Repair of Python API Parameter Compatibility Issues,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-308,Photonic lantern wavefront reconstruction in a multi-wavefront sensor single-conjugate adaptive optics system,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-309,Poracle: Testing Patches under Preservation Conditions to Combat the Overfitting Problem of Program Repair,2023,TOSEM,10.1145/3625293,exclude,exclude,exclude,exclude,true,true,
S5-310,Practical Program Repair in the Era of Large Pre-trained Language Models,2022,arXiv,10.1109/icse48619.2023.00129,exclude,exclude,exclude,exclude,true,true,
S5-311,Practical Program Repair via Preference-based Ensemble Strategy,2024,ICSE 2024,,exclude,exclude,exclude,exclude,true,true,
S5-312,"Practical Sliding Window Recoder: Design, Analysis, and Usecases",2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-313,Pre-trained Model-based Automated Software Vulnerability Repair: How Far are We?,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-314,Precise and Efficient Patch Presence Test for Android Applications against Code Obfuscation,2023,ISSTA 2023,10.1145/3597926.3598061,exclude,exclude,exclude,exclude,true,true,
S5-315,PredicateFix: Repairing Static Analysis Alerts with Bridging Predicates,2026,ICSE 2026,,include,include,include,include,true,true,
S5-316,Private Repair of a Single Erasure in Reed-Solomon Codes,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-317,Program Repair,2022,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-318,Program Repair: Automated vs. Manual,2022,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-319,"Program Repair CompetitionRidwan Shariffdeen, Martin Mirchev, Abhik Roychoudhury",2023,APR,,exclude,exclude,exclude,exclude,true,true,
S5-320,Program Repair Guided by Datalog-Defined Static Analysis,2023,FSE 2023,https://2023.esec-fse.org/details/fse-2023-research-papers/94/Program-Repair-Guided-by-Datalog-Defined-Static-Analysis,exclude,exclude,exclude,exclude,true,true,
S5-321,Program Repair With Repeated Learning,2022,TSE,10.1109/tse.2022.3164662,exclude,exclude,exclude,exclude,true,true,
S5-322,Program Vulnerability Repair via Inductive Inference,2022,ISSTA 2022,10.1145/3533767.3534387,exclude,exclude,exclude,exclude,true,true,
S5-323,Project-Level Resource Leak Detection through Agent-based Ownership Analysis and Repair Pattern Verification,2026,ICSE 2026,,exclude,exclude,exclude,exclude,true,true,
S5-324,Promoting the Culture of Qinhuai River Lantern Shadow Puppetry with a Digital Archive and Immersive Experience,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-325,Proof2Silicon: Prompt Repair for Verified Code and Hardware Generation via Reinforcement Learning,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-326,PropR: Property-Based Automatic Program Repair,2022,ICSE 2022,10.1145/3510003.3510620,exclude,exclude,exclude,exclude,true,true,
S5-327,ProveNFix: Temporal Property guided Program Repair,2024,FSE 2024,10.1145/3643737,exclude,exclude,exclude,exclude,true,true,
S5-328,PyTER: Effective Program Repair for Python Type Errors,2022,FSE 2022,10.1145/3540250.3549130,exclude,exclude,exclude,exclude,true,true,
S5-329,PyTy: Repairing Static Type Errors in Python,2024,ICSE 2024,https://dl.acm.org/doi/10.1145/3597503.3639184,include,include,include,include,true,true,
S5-330,Quantum Patch-Based Autoencoder for Anomaly Segmentation,2024,arXiv,10.1109/qce60285.2024.00039,exclude,exclude,exclude,exclude,true,true,
S5-331,"Quick Repair of Semantic Errors for DebuggingSteven P. Reiss, Xuan Wei, Qi Xin",2023,APR,,exclude,exclude,exclude,exclude,true,true,
S5-332,R3A: Reliable RTL Repair Framework with Multi-Agent Fault Localization and Stochastic Tree-of-Thoughts Patch Generation,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-333,RAP-Gen: Retrieval-Augmented Patch Generation with CodeT5 for Automatic Program Repair,2023,FSE 2023,https://2023.esec-fse.org/details/fse-2023-research-papers/15/RAP-Gen-Retrieval-Augmented-Patch-Generation-with-CodeT5-for-Automatic-Program-Repai,exclude,exclude,exclude,exclude,true,true,
S5-334,ReCode: Improving LLM-based Code Repair with Fine-Grained Retrieval-Augmented Generation,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-335,Red Teaming Program Repair Agents: When Correct Patches can Hide Vulnerabilities,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-336,REFINE: Enhancing Program Repair Agents through Context-Aware Patch Refinement,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-337,Reliable Fix Patterns Inferred from Static Checkers for Automated Program Repair,2023,TOSEM,10.1145/3579637,exclude,exclude,exclude,exclude,true,true,
S5-338,RelRepair: Enhancing Automated Program Repair by Retrieving Relevant Code,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-339,[Remote] Automated and Context-Aware Repair of Color-Related Accessibility Issues for Android Apps,2023,FSE 2023,https://2023.esec-fse.org/details/fse-2023-research-papers/88/-Remote-Automated-and-Context-Aware-Repair-of-Color-Related-Accessibility-Issues-for,exclude,exclude,exclude,exclude,true,true,
S5-340,REN: Fast and Efficient Region Encodings from Patch-Based Image Encoders,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-341,RePaCA: Leveraging Reasoning Large Language Models for Static Automated Patch Correctness Assessment,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-342,RePair: Automated Program Repair with Process-based Feedback,2024,ACL 2024,,include,include,include,include,true,true,
S5-343,Repair Ingredients Are All You Need: Improving Large Language Model-Based Program Repair via Repair Ingredients Search,2026,ICSE 2026,,exclude,exclude,exclude,exclude,true,true,
S5-344,Repair Is Nearly Generation: Multilingual Program Repair with LLMs,2022,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-345,"RepairAgent: An Autonomous, LLM-Based Agent for Program Repair",2025,ICSE 2025,https://arxiv.org/pdf/2403.17134,include,include,include,include,true,true,
S5-346,RepairBench: Leaderboard of Frontier Models for Program Repair,2024,2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),10.1109/llm4code66737.2025.00006,exclude,exclude,exclude,exclude,true,true,
S5-347,RepairLLaMA: Efficient Representations and Fine-Tuned Adapters for Program Repair,2025,TSE,10.1109/tse.2025.3581062,include,include,include,include,true,true,
S5-348,Repeton: Structured Bug Repair with ReAct-Guided Patch-and-Test Cycles,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-349,RePurr: Automated Repair of Block-Based Learners' Programs,2025,FSE 2025,10.1145/3715786,exclude,exclude,exclude,exclude,true,true,
S5-350,Rete: Learning Namespace Representation for Program Repair,2023,ICSE 2023,https://ieeexplore.ieee.org/document/10172760,exclude,exclude,exclude,exclude,true,true,
S5-351,Rethinking Kernel Program Repair: Benchmarking and Enhancing LLMs with RGym,2025,,,exclude,exclude,exclude,exclude,true,true,
S5-352,Rethinking Patch Dependence for Masked Autoencoders,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-353,Rethinking the Capability of Fine-Tuned Language Models for Automated Vulnerability Repair,2026,ICSE 2026,,exclude,exclude,exclude,exclude,true,true,
S5-354,Revisiting Evolutionary Program Repair via Code Language Model,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-355,Revisiting Unnaturalness for Automated Program Repair in the Era of Large Language Models,2025,ICSE 2025,,exclude,exclude,exclude,exclude,true,true,
S5-356,Revisiting Vulnerability Patch Localization: An Empirical Study and LLM-Based Solution,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-357,REX: Rapid Exploration and eXploitation for AI Agents,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-358,RulER: Automated Rule-Based Semantic Error Localization and Repair for Code Translation,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-359,RunBugRun -- An Executable Dataset for Automated Program Repair,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-360,Scalable Supervising Software Agents with Patch Reasoner,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-361,<scp>StubCoder</scp> : Automated Generation and Repair of Stub Code for Mock Objects,2023,TOSEM,10.1145/3617171,exclude,exclude,exclude,exclude,true,true,
S5-362,Search-based Automated Program Repair of CPS Controllers Modeled in Simulink-Stateflow,2024,arXiv.org,10.48550/arxiv.2404.04688,exclude,exclude,exclude,exclude,true,true,
S5-363,SecureFixAgent: A Hybrid LLM Agent for Automated Python Static Vulnerability Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-364,Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerability Repair in Solidity and Move,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-365,Seeing is Fixing: Cross-Modal Reasoning with Multimodal LLMs for Visual Software Issue Repair,2025,ASE 2025,,exclude,exclude,exclude,exclude,true,true,
S5-366,Seeing the Whole Elephant: Systematically Understanding and Uncovering Evaluation Biases in Automated Program Repair,2022,TOSEM,10.1145/3561382,exclude,exclude,exclude,exclude,true,true,
